experiment_type,trial_number,start_time,instructions,cpu-cycles,cache-references,cache-misses,page-faults,bus-cycles,branch-instructions,branch-misses,avg_memory_over_time,max_memory_over_time
docker_container_and_daemon,27,2025-02-01T15:58:47.843943,70256175470,57073235434,12334218516,84773288,65647,26418525217,10600295830,147652003,112572749,293961728
docker_container,28,2025-02-01T15:59:37.320772,62676442401,52722982132,11094907480,71502132,60976,24714287480,10027260824,133270229,98422329,258654208
docker_container_and_daemon,28,2025-02-01T15:59:37.320772,67865056897,57880818114,12056035488,92046495,65877,26435156780,10935003172,155357459,197440155,222105600
wasm_aot,25,2025-02-01T16:00:25.458412,3643200296026,3278701415454,979831312778,4077489331,3694954,1633989963641,548911282604,12594267685,282548295,342634496
docker_container,29,2025-02-01T16:01:11.685336,67898829380,55177368590,12073187321,78326680,60928,27380246596,11311097261,139688603,103619072,287453184
docker_container_and_daemon,29,2025-02-01T16:01:11.685336,72905513357,60719783407,13026833637,95469873,66744,29599382230,12318332386,181301125,159863220,322654208
wasm_aot,26,2025-02-01T16:02:07.026237,3713841771539,3340630014859,992759888647,4156236682,3769801,1663692494830,560214629740,12752779738,270241368,333852672
wasm_interpreted,24,2025-02-01T16:02:55.018375,3807418596389,3428585700024,1023117534143,4246542848,3849935,1709463798657,574804076061,13126243381,249671107,366395392
wasm_interpreted,25,2025-02-01T16:04:13.460957,3898598681621,3511765353327,1054963290401,4351591937,3930601,1755281442912,588521037263,13468362410,236434432,367706112
wasm_aot,27,2025-02-01T16:05:28.689196,3968692165388,3569938978049,1068401757791,4434931712,4004181,1784874840943,599288080826,13615289930,283516363,345886720
wasm_interpreted,26,2025-02-01T16:06:11.471297,4061161523036,3661149845357,1098441974645,4533482686,4084117,1830415170402,613629523023,13971659978,239373918,367046656
wasm_interpreted,27,2025-02-01T16:07:27.252007,4148425790898,3744952845436,1127971218433,4629850617,4164363,1874263121428,626569241350,14337039358,238215335,368783360
wasm_interpreted,28,2025-02-01T16:08:39.988386,4240584822486,3830455990529,1158405209344,4720980715,4244948,1918954489878,640028277812,14743775446,234391506,367984640
wasm_interpreted,29,2025-02-01T16:09:53.599224,4330266924361,3916610696735,1187711596534,4813263488,4323842,1960685794501,652432328323,15132681864,231761674,363704320
docker_container,30,2025-02-01T16:11:06.842513,9928815151,11347591404,2254010641,30345811,43077,5136637393,1305170505,57015964,116978574,219271168
docker_container_and_daemon,30,2025-02-01T16:11:06.842513,16304869600,15541169949,3068545196,39080736,47538,7260131985,2050655737,65325957,232943430,264728576
docker_container,31,2025-02-01T16:12:01.407506,69365413026,56856777248,13214991663,76083433,61304,30335207707,11898510580,136439596,89079808,246542336
docker_container_and_daemon,31,2025-02-01T16:12:01.407506,74511569078,64090331490,14197039302,101523066,65944,32604543016,12780911283,151778993,175768075,291483648
wasm_interpreted,30,2025-02-01T16:12:53.310433,4422194428103,4001504281296,1218696654984,4904773405,4404361,2005727625403,666113802967,15475993169,220504373,346247168
wasm_aot,28,2025-02-01T16:14:13.517446,4490067114631,4057236122414,1230630521068,4980387634,4478615,2033596625212,677049810382,15638522754,276947854,346058752
docker_container,32,2025-02-01T16:14:57.329278,71122982474,58139821200,12675212782,77843356,61913,29507431050,11490759518,143296312,100223488,242987008
docker_container_and_daemon,32,2025-02-01T16:14:57.329278,77297588779,62331578134,13502967453,88149618,67302,31062835590,12459618146,171507721,184411904,277086208
wasm_aot,29,2025-02-01T16:15:53.207641,4560316525318,4117187744455,1243428573276,5063902991,4553314,2061812336746,688140254748,15801421901,274467717,339165184
docker_container,33,2025-02-01T16:16:37.547375,8114296747,9801204697,2333441269,35361226,41132,5823923644,1350624534,70161139,107363840,214712320
docker_container_and_daemon,33,2025-02-01T16:16:37.547375,12651624735,15753016996,2940127692,104787623,45074,6396189158,1622163500,81757216,226317267,257429504
wasm_aot,30,2025-02-01T16:17:30.884876,4628783321162,4173318638806,1255386711241,5143569243,4627843,2089032247410,698894901336,15961525124,293435077,335413248
wasm_aot,31,2025-02-01T16:18:17.345525,4700380846619,4230156752096,1269471149328,5224697345,4702215,2118958685730,710220460248,16099162665,282118215,345350144
wasm_interpreted,31,2025-02-01T16:19:03.390683,4794429445245,4318508874623,1299749743773,5317951732,4782400,2165094287009,724573480993,16501769761,242746245,365129728
wasm_aot,32,2025-02-01T16:20:22.019312,4860221784317,4374929238956,1312735626074,5397941975,4856717,2194931306442,736191405080,16661743453,285650641,345473024
wasm_interpreted,32,2025-02-01T16:21:04.575531,4958032905756,4457953891983,1340018833209,5507028862,4936735,2235748981753,749356511933,17044669230,221958827,349171712
wasm_aot,33,2025-02-01T16:22:22.777282,5027225423805,4515095402491,1352410898408,5587671731,5011291,2262301634757,760151773518,17200850735,269326775,343896064
docker_container,34,2025-02-01T16:23:06.624609,26348430941,23946969969,5182245919,46685297,49606,12180268231,4154120206,96185949,111998464,246218752
docker_container_and_daemon,34,2025-02-01T16:23:06.624609,28659758148,25948868280,5578113503,67714238,55090,13189170349,4904881742,180668254,250919413,294289408
wasm_aot,34,2025-02-01T16:24:03.173300,5096891102846,4570764067506,1365076025891,5665660104,5085410,2290062408234,771170800482,17342919838,261445339,335769600
wasm_interpreted,33,2025-02-01T16:24:49.261965,5192569538013,4660188903763,1396437305215,5763537994,5165833,2333295759927,785751141825,17701407839,248298701,367509504
docker_container,35,2025-02-01T16:26:08.307295,59808639877,50927511378,11716846306,69090240,61199,27889507712,10767886486,131680057,128355897,286425088
docker_container_and_daemon,35,2025-02-01T16:26:08.307295,64833985271,56260655008,12924170152,83530338,66843,44608346152,14658206843,160791758,221372044,327204864
wasm_interpreted,34,2025-02-01T16:27:01.409424,5284798337595,4739332413156,1427966050371,5859105000,5246976,2378330575446,798807206658,18038773624,223645445,350269440
docker_container,36,2025-02-01T16:28:19.755414,20871957297,18165033521,4382437921,51604290,47303,9216472971,2959077215,89756663,108748288,236707840
docker_container_and_daemon,36,2025-02-01T16:28:19.755414,25192233499,25335884413,5181034916,101135962,51940,11839318169,3499272095,124536588,239021568,276926464
wasm_aot,35,2025-02-01T16:29:16.090456,5349795177634,4797578142798,1440733429496,5936365997,5321452,2406229900650,809639559636,18202181631,286178597,338862080
docker_container,37,2025-02-01T16:30:02.582943,2608809626,4254151775,757037113,18081108,17219,1905113120,239986057,22643721,74117120,123535360
docker_container_and_daemon,37,2025-02-01T16:30:02.582943,6731416222,4907823711,1276603948,21385547,20169,2213206259,421288426,36579607,155566763,167530496
wasm_aot,36,2025-02-01T16:30:52.708402,5417058912816,4853856516584,1453252877532,6017360691,5395957,2434635212294,820785364933,18368869741,271527790,341143552
wasm_interpreted,35,2025-02-01T16:31:37.249222,5502019365453,4935685913818,1480994110337,6100513643,5475761,2480131505574,834388096620,18740265924,243741234,360734720
wasm_interpreted,36,2025-02-01T16:32:55.776130,5597970550559,5029126004987,1511673953307,6205680037,5555797,2526774120618,848093594993,19149299358,246527237,368791552
wasm_interpreted,37,2025-02-01T16:34:13.858738,5687921160871,5111585548179,1544095025722,6311742282,5636059,2573192867998,861982483091,19494049854,235757655,369475584
docker_container,38,2025-02-01T16:35:29.248055,15109818736,15511871349,3064507354,38674255,45751,7509447449,2116835090,72366746,114272484,227926016
docker_container_and_daemon,38,2025-02-01T16:35:29.248055,20598178561,17120583941,3946431993,46734937,50673,8128554884,2753482673,199281201,238091357,272080896
wasm_interpreted,38,2025-02-01T16:36:22.838173,5777662372934,5202187757879,1573999262115,6410477599,5716549,2621039719659,876405046202,19881101530,230168658,346750976
docker_container,39,2025-02-01T16:37:40.873065,7260350328,10875836156,1665543487,33943626,38238,5415002751,955686055,56722616,93263579,212787200
docker_container_and_daemon,39,2025-02-01T16:37:40.873065,11780939406,14173816558,2734118458,55893714,42421,7211819941,1619655305,83490259,226950165,256065536
wasm_interpreted,39,2025-02-01T16:38:37.401203,5873108635946,5294606465434,1605035563392,6510075011,5797095,2665993405077,889549680938,20280354968,221324446,351797248
wasm_aot,37,2025-02-01T16:39:58.249355,5943159873644,5350417727305,1616794567389,6590244480,5871255,2693251122341,900208426376,20434535764,280951414,354758656
wasm_aot,38,2025-02-01T16:40:42.227096,6012394534863,5406669169271,1630116634031,6672657433,5944945,2723484483702,911701785119,20577184326,288178449,353865728
wasm_interpreted,40,2025-02-01T16:41:28.382940,6099069171586,5492583938356,1660760323391,6771052152,6024849,2767932971494,924517154573,20955338734,241371512,370900992
docker_container,40,2025-02-01T16:42:44.933619,9900666128,10412101048,2742665064,33370131,42960,6430454074,1438262203,58051602,95567287,222691328
docker_container_and_daemon,40,2025-02-01T16:42:44.933619,12207444998,11611725887,3510758730,56590997,49360,7140189056,2055732501,98461950,229062749,265117696
wasm_aot,39,2025-02-01T16:43:38.575305,6168232044342,5551237419012,1672507535159,6853243859,6100225,2794954340564,936280697173,21131890464,259530752,342683648
wasm_aot,40,2025-02-01T16:44:22.685218,6239929109463,5610728787530,1685558090147,6935393529,6173039,2823654997724,947679378626,21274616639,286859405,342331392
wasm_interpreted,41,2025-02-01T16:45:09.171630,6334782292286,5702687498453,1715499727273,7027014366,6253346,2871173863699,963086206182,21649106548,244813342,363376640
docker_container,41,2025-02-01T16:46:25.983120,5998969165,7382349550,1646786309,28636178,38972,4857551564,1410920622,73035602,91912485,215224320
docker_container_and_daemon,41,2025-02-01T16:46:25.983120,9738398145,8334996838,2676301073,50925015,44584,9211322389,1859397024,127827991,230258866,259649536
wasm_interpreted,42,2025-02-01T16:47:22.439120,6419451232265,5783035081500,1746462502325,7111927442,6333808,2912828248909,976010408433,22043424821,230454753,342990848
docker_container,42,2025-02-01T16:48:40.684239,66521392239,55435188916,12203654904,81943582,61713,27489361412,10080008052,147704092,118870016,243412992
docker_container_and_daemon,42,2025-02-01T16:48:40.684239,71536870779,58678587999,12879309087,145429263,67067,33472053253,10792693936,165373146,226810951,253898752
wasm_aot,41,2025-02-01T16:49:33.313114,6486913071729,5838984124419,1759561586647,7191570514,6408984,2940705222310,986908595692,22187392407,263263118,331571200
docker_container,43,2025-02-01T16:50:18.701614,2563142675,5113582943,646676587,21810550,16599,1627820756,339711528,29561464,71645184,121135104
docker_container_and_daemon,43,2025-02-01T16:50:18.701614,10273555993,23536988829,3185857972,66037471,18980,1867466272,1389698813,72128165,156055552,162267136
docker_container,44,2025-02-01T16:51:12.643196,18763113222,17403974933,4410146994,38639165,48308,10816221616,3757615191,96032933,70406144,207757312
docker_container_and_daemon,44,2025-02-01T16:51:12.643196,25293417966,19254433194,5400606306,43296393,53485,12932190262,4666445300,206725956,188301494,245571584
docker_container,45,2025-02-01T16:52:01.991142,2852428584,4482232303,944569389,20729793,27377,3586235268,603420267,62783152,60440576,126763008
docker_container_and_daemon,45,2025-02-01T16:52:01.991142,8815089144,6624590109,2631765541,33014259,30392,6485411545,871529640,121254274,151963219,166211584
wasm_interpreted,43,2025-02-01T16:52:50.633024,6581375176207,5925236185559,1791723931674,7291046305,6489594,2984066601210,1000987254751,22579113150,240133865,352718848
wasm_aot,42,2025-02-01T16:54:09.205976,6647110454754,5979425266655,1803320842835,7366876354,6563040,3009450435439,1011022266564,22726318215,279483351,352559104
wasm_interpreted,44,2025-02-01T16:54:52.574090,6739737901316,6070255146309,1834798212506,7467009963,6643475,3050918378579,1025169266629,23093451581,239712967,375787520
wasm_aot,43,2025-02-01T16:56:09.506019,6807736161793,6128182014425,1847588634308,7545446487,6717243,3078682292721,1036289860560,23237919296,297935000,354664448
docker_container,46,2025-02-01T16:56:53.398316,69439866389,56839887692,12731662559,78416462,60837,27418556283,10393937577,139105726,119616717,285450240
docker_container_and_daemon,46,2025-02-01T16:56:53.398316,78957179866,61587802879,14897097209,86127721,67353,29720884360,11605735087,151733544,223856509,327176192
wasm_aot,44,2025-02-01T16:57:51.222299,6872378013231,6182686941732,1860022006130,7622979151,6791243,3106162612226,1046765971633,23386031722,279383625,345493504
wasm_aot,45,2025-02-01T16:58:35.730722,6944869908935,6240799800441,1873104718166,7702907950,6865598,3135712502688,1058349356691,23538623349,289915426,345534464
wasm_interpreted,45,2025-02-01T16:59:20.815237,7033881769202,6326568456719,1902568488165,7805113100,6946016,3177348621602,1071363616115,23899659375,210913927,343568384
wasm_interpreted,46,2025-02-01T17:00:50.523356,7128992987880,6411679750178,1933522657190,7908210919,7027197,3220911096904,1084471376209,24258823207,228325120,359743488
wasm_interpreted,47,2025-02-01T17:02:08.877587,7215612046854,6493401581049,1964383483556,8009978802,7106740,3266487879939,1099441632076,24634856981,233215090,361533440
wasm_aot,46,2025-02-01T17:03:28.130449,7288365095611,6554916981010,1976785305808,8087704877,7180713,3295344120423,1111331116563,24790702448,283163794,344956928
wasm_aot,47,2025-02-01T17:04:12.571590,7356324818264,6611387768580,1989445361457,8167595344,7254362,3323653392602,1122412757099,24942862055,284874342,344010752
wasm_interpreted,48,2025-02-01T17:04:55.876145,7447016305576,6699835864345,2021648451216,8277156174,7334465,3368904594575,1136456271877,25308623851,237215826,365723648
wasm_aot,48,2025-02-01T17:06:13.456647,7516958010797,6758834569472,2033900239810,8357162039,7408846,3397248295507,1147853469543,25467739675,285421427,344940544
wasm_aot,49,2025-02-01T17:06:57.080579,7589862692035,6816933928017,2046198790510,8439815382,7482889,3425579515353,1158671915163,25617162121,280649880,345808896
wasm_aot,50,2025-02-01T17:07:40.035870,7654465961360,6871829045935,2058521087925,8517267141,7556272,3453725659426,1169591389450,25767386491,280270317,343748608
docker_container,47,2025-02-01T17:08:23.954503,10729525461,12790915206,2500841512,42433071,42377,6371471720,1568105137,77247854,99270144,209829888
docker_container_and_daemon,47,2025-02-01T17:08:23.954503,18300392534,21459508985,3854710675,122995362,47198,6991749409,2083417139,130807811,229599499,262221824
wasm_interpreted,49,2025-02-01T17:09:21.261478,7748272352692,6960831905942,2089644823113,8616414052,7637094,3498903314325,1184115457929,26132768063,220332360,344031232
wasm_interpreted,50,2025-02-01T17:10:40.512381,7851235187951,7054164310447,2121969268324,8713857543,7717814,3543695177326,1198672116132,26523862450,239502276,364457984
docker_container,48,2025-02-01T17:11:57.525372,66247648023,54307902555,11904099525,70596864,61522,25967997107,10209480602,145897060,127678692,290861056
docker_container_and_daemon,48,2025-02-01T17:11:57.525372,73722010487,58294292530,13393052815,84943333,67089,28116969334,11306235949,192016424,237615514,333012992
docker_container,49,2025-02-01T17:12:52.286814,4407784060,5446369357,1542626125,30909028,27910,6453052800,961860911,61284058,59930624,126050304
docker_container_and_daemon,49,2025-02-01T17:12:52.286814,4893105806,6147624110,1714771912,44900046,31226,12899946784,2018013720,165884095,155648293,170815488
docker_container,50,2025-02-01T17:13:38.979095,2750328592,4504151935,655521397,15636867,16519,1797575657,217934318,19342754,45161677,78405632
docker_container_and_daemon,50,2025-02-01T17:13:38.979095,5456709638,5471851449,2014831878,17622561,18583,3216064824,650923746,35845514,118316344,122773504
